rank,account,link,amount,humidity,id
11,0xb57fd427c7a816853b280d8c445184e95fe8f61a,"<a href=""https://etherscan.io/address/0xb57fd427c7a816853b280d8c445184e95fe8f61a"" target=""_blank"" >0xb57fd427c7a816853b280d8c445184e95fe8f61a</a>",101975,5,6000000
12,0xc95186f04b68cfec0d9f585d08c3b5697c858fe0,"<a href=""https://etherscan.io/address/0xc95186f04b68cfec0d9f585d08c3b5697c858fe0"" target=""_blank"" >0xc95186f04b68cfec0d9f585d08c3b5697c858fe0</a>",100000,5,6000000
12,0xcdbe0c24c858a75eadc38eb9a8ddaee7f1598f71,"<a href=""https://etherscan.io/address/0xcdbe0c24c858a75eadc38eb9a8ddaee7f1598f71"" target=""_blank"" >0xcdbe0c24c858a75eadc38eb9a8ddaee7f1598f71</a>",100000,5,6000000
12,0x15390a3c98fa5ba602f1b428bc21a3059362afaf,"<a href=""https://etherscan.io/address/0x15390a3c98fa5ba602f1b428bc21a3059362afaf"" target=""_blank"" >0x15390a3c98fa5ba602f1b428bc21a3059362afaf</a>",100000,5,6000000
12,0xd6e91233068c81b0eb6aac77620641f72d27a039,"<a href=""https://etherscan.io/address/0xd6e91233068c81b0eb6aac77620641f72d27a039"" target=""_blank"" >0xd6e91233068c81b0eb6aac77620641f72d27a039</a>",100000,5,6000000
16,0xbd120e919eb05343dba68863f2f8468bd7010163,"<a href=""https://etherscan.io/address/0xbd120e919eb05343dba68863f2f8468bd7010163"" target=""_blank"" >0xbd120e919eb05343dba68863f2f8468bd7010163</a>",99988,5,6000000
17,0xf1a621fe077e4e9ac2c0cefd9b69551db9c3f657,"<a href=""https://etherscan.io/address/0xf1a621fe077e4e9ac2c0cefd9b69551db9c3f657"" target=""_blank"" >0xf1a621fe077e4e9ac2c0cefd9b69551db9c3f657</a>",99781,5,6000000
18,0x02009370ff755704e9acbd96042c1ab832d6067e,"<a href=""https://etherscan.io/address/0x02009370ff755704e9acbd96042c1ab832d6067e"" target=""_blank"" >0x02009370ff755704e9acbd96042c1ab832d6067e</a>",95000,5,6000000
19,0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2,"<a href=""https://etherscan.io/address/0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2"" target=""_blank"" >0x71f9ccd68bf1f5f9b571f509e0765a04ca4ffad2</a>",84990,5,6000000
20,0x53bd04892c7147e1126bc7ba68f2fb6bf5a43910,"<a href=""https://etherscan.io/address/0x53bd04892c7147e1126bc7ba68f2fb6bf5a43910"" target=""_blank"" >0x53bd04892c7147e1126bc7ba68f2fb6bf5a43910</a>",83334,5,6000000
21,0x46fb59229922d98dcc95bb501efc3b10fa83d938,"<a href=""https://etherscan.io/address/0x46fb59229922d98dcc95bb501efc3b10fa83d938"" target=""_blank"" >0x46fb59229922d98dcc95bb501efc3b10fa83d938</a>",80109,5,6000000
22,0xb009714a5a4963d40ac0625db643e3eb6e755c25,"<a href=""https://etherscan.io/address/0xb009714a5a4963d40ac0625db643e3eb6e755c25"" target=""_blank"" >0xb009714a5a4963d40ac0625db643e3eb6e755c25</a>",74996,5,6000000
23,0x718526d1a4a33c776dd745f220dd7ebc13c71e82,"<a href=""https://etherscan.io/address/0x718526d1a4a33c776dd745f220dd7ebc13c71e82"" target=""_blank"" >0x718526d1a4a33c776dd745f220dd7ebc13c71e82</a>",74253,5,6000000
24,0x9c695f16975b57f730727f30f399d110cfc71f10,"<a href=""https://etherscan.io/address/0x9c695f16975b57f730727f30f399d110cfc71f10"" target=""_blank"" >0x9c695f16975b57f730727f30f399d110cfc71f10</a>",71969,5,6000000
25,0xf1ada345a33f354e5ba0a5ba432e38d7e3fcae22,"<a href=""https://etherscan.io/address/0xf1ada345a33f354e5ba0a5ba432e38d7e3fcae22"" target=""_blank"" >0xf1ada345a33f354e5ba0a5ba432e38d7e3fcae22</a>",60319,5,6000000
26,0xfa60a22626d1dce794514afb9b90e1cd3626cd8d,"<a href=""https://etherscan.io/address/0xfa60a22626d1dce794514afb9b90e1cd3626cd8d"" target=""_blank"" >0xfa60a22626d1dce794514afb9b90e1cd3626cd8d</a>",60200,5,6000000
27,0x69e02d001146a86d4e2995f9ecf906265aa77d85,"<a href=""https://etherscan.io/address/0x69e02d001146a86d4e2995f9ecf906265aa77d85"" target=""_blank"" >0x69e02d001146a86d4e2995f9ecf906265aa77d85</a>",55000,5,6000000
28,0x7bf4b9d4ec3b9aab1f00dad63ea58389b9f68909,"<a href=""https://etherscan.io/address/0x7bf4b9d4ec3b9aab1f00dad63ea58389b9f68909"" target=""_blank"" >0x7bf4b9d4ec3b9aab1f00dad63ea58389b9f68909</a>",51100,5,6000000
29,0xc02a0918e0c47b36c06be0d1a93737b37582dabb,"<a href=""https://etherscan.io/address/0xc02a0918e0c47b36c06be0d1a93737b37582dabb"" target=""_blank"" >0xc02a0918e0c47b36c06be0d1a93737b37582dabb</a>",50641,5,6000000
30,0x7d51910845011b41cc32806644da478feff2f11f,"<a href=""https://etherscan.io/address/0x7d51910845011b41cc32806644da478feff2f11f"" target=""_blank"" >0x7d51910845011b41cc32806644da478feff2f11f</a>",50000,5,6000000
30,0x4a5867445a1fa5f394268a521720d1d4e5609413,"<a href=""https://etherscan.io/address/0x4a5867445a1fa5f394268a521720d1d4e5609413"" target=""_blank"" >0x4a5867445a1fa5f394268a521720d1d4e5609413</a>",50000,5,6000000
30,0x8d06ffb1500343975571cc0240152c413d803778,"<a href=""https://etherscan.io/address/0x8d06ffb1500343975571cc0240152c413d803778"" target=""_blank"" >0x8d06ffb1500343975571cc0240152c413d803778</a>",50000,5,6000000
30,0xa2321c2a5faa8336b09519fb8fa5a19077da7794,"<a href=""https://etherscan.io/address/0xa2321c2a5faa8336b09519fb8fa5a19077da7794"" target=""_blank"" >0xa2321c2a5faa8336b09519fb8fa5a19077da7794</a>",50000,5,6000000
30,0x2894457502751d0f92ed1e740e2c8935f879e8ae,"<a href=""https://etherscan.io/address/0x2894457502751d0f92ed1e740e2c8935f879e8ae"" target=""_blank"" >0x2894457502751d0f92ed1e740e2c8935f879e8ae</a>",50000,5,6000000
30,0x4cc19a7a359f2ff54ff087f03b6887f436f08c11,"<a href=""https://etherscan.io/address/0x4cc19a7a359f2ff54ff087f03b6887f436f08c11"" target=""_blank"" >0x4cc19a7a359f2ff54ff087f03b6887f436f08c11</a>",50000,5,6000000
36,0xd189b1d9402631770b19bdb25b5d5702f15830a8,"<a href=""https://etherscan.io/address/0xd189b1d9402631770b19bdb25b5d5702f15830a8"" target=""_blank"" >0xd189b1d9402631770b19bdb25b5d5702f15830a8</a>",49900,5,6000000
37,0x87c9e571ae1657b19030eee27506c5d7e66ac29e,"<a href=""https://etherscan.io/address/0x87c9e571ae1657b19030eee27506c5d7e66ac29e"" target=""_blank"" >0x87c9e571ae1657b19030eee27506c5d7e66ac29e</a>",49517,5,6000000
38,0x2adc4d8e3d2df0b37611130bc9ed82cdfa3e2762,"<a href=""https://etherscan.io/address/0x2adc4d8e3d2df0b37611130bc9ed82cdfa3e2762"" target=""_blank"" >0x2adc4d8e3d2df0b37611130bc9ed82cdfa3e2762</a>",48635,5,6000000
39,0x9c8fc7e1beaa9152b555d081c4bcc326cb13c72b,"<a href=""https://etherscan.io/address/0x9c8fc7e1beaa9152b555d081c4bcc326cb13c72b"" target=""_blank"" >0x9c8fc7e1beaa9152b555d081c4bcc326cb13c72b</a>",46089,5,6000000
40,0xe146313a9d6d6ccdd733cc15af3cf11d47e96f25,"<a href=""https://etherscan.io/address/0xe146313a9d6d6ccdd733cc15af3cf11d47e96f25"" target=""_blank"" >0xe146313a9d6d6ccdd733cc15af3cf11d47e96f25</a>",44151,5,6000000
41,0xd67acddb195e31ad9e09f2cbc8d7f7891a6d44bf,"<a href=""https://etherscan.io/address/0xd67acddb195e31ad9e09f2cbc8d7f7891a6d44bf"" target=""_blank"" >0xd67acddb195e31ad9e09f2cbc8d7f7891a6d44bf</a>",40000,5,6000000
42,0x5f074e4afb3547407614bc55a103d76a4e05ba04,"<a href=""https://etherscan.io/address/0x5f074e4afb3547407614bc55a103d76a4e05ba04"" target=""_blank"" >0x5f074e4afb3547407614bc55a103d76a4e05ba04</a>",37645,5,6000000
43,0xf35e261393f9705e10b378c6785582b2a5a71094,"<a href=""https://etherscan.io/address/0xf35e261393f9705e10b378c6785582b2a5a71094"" target=""_blank"" >0xf35e261393f9705e10b378c6785582b2a5a71094</a>",36143,5,6000000
44,0x997563ba8058e80f1e4dd5b7f695b5c2b065408e,"<a href=""https://etherscan.io/address/0x997563ba8058e80f1e4dd5b7f695b5c2b065408e"" target=""_blank"" >0x997563ba8058e80f1e4dd5b7f695b5c2b065408e</a>",33338,5,6000000
45,0x40e652fe0ec7329dc80282a6db8f03253046efde,"<a href=""https://etherscan.io/address/0x40e652fe0ec7329dc80282a6db8f03253046efde"" target=""_blank"" >0x40e652fe0ec7329dc80282a6db8f03253046efde</a>",33334,5,6000000
46,0xa87b23db84e79a52ce4790e4b4abe568a0102643,"<a href=""https://etherscan.io/address/0xa87b23db84e79a52ce4790e4b4abe568a0102643"" target=""_blank"" >0xa87b23db84e79a52ce4790e4b4abe568a0102643</a>",30448,5,6000000
47,0xae0ff6098365140e3030e8360ccd8c0b0462286c,"<a href=""https://etherscan.io/address/0xae0ff6098365140e3030e8360ccd8c0b0462286c"" target=""_blank"" >0xae0ff6098365140e3030e8360ccd8c0b0462286c</a>",30005,5,6000000
48,0x0f3a1e840f030617b7496194dc96bf9be1e54d59,"<a href=""https://etherscan.io/address/0x0f3a1e840f030617b7496194dc96bf9be1e54d59"" target=""_blank"" >0x0f3a1e840f030617b7496194dc96bf9be1e54d59</a>",30000,5,6000000
49,0xa734439d26ce4dbf43ed7eb364ec409d949bb369,"<a href=""https://etherscan.io/address/0xa734439d26ce4dbf43ed7eb364ec409d949bb369"" target=""_blank"" >0xa734439d26ce4dbf43ed7eb364ec409d949bb369</a>",29998,5,6000000
50,0x8c35933c469406c8899882f5c2119649cd5b617f,"<a href=""https://etherscan.io/address/0x8c35933c469406c8899882f5c2119649cd5b617f"" target=""_blank"" >0x8c35933c469406c8899882f5c2119649cd5b617f</a>",29113,5,6000000
51,0x52d3aba582a24eeb9c1210d83ec312487815f405,"<a href=""https://etherscan.io/address/0x52d3aba582a24eeb9c1210d83ec312487815f405"" target=""_blank"" >0x52d3aba582a24eeb9c1210d83ec312487815f405</a>",27888,5,6000000
52,0x08bf22fb93892583a815c598502b9b0a88124dad,"<a href=""https://etherscan.io/address/0x08bf22fb93892583a815c598502b9b0a88124dad"" target=""_blank"" >0x08bf22fb93892583a815c598502b9b0a88124dad</a>",27859,5,6000000
53,0xef1335914a41f20805bf3b74c7b597afc4dafbee,"<a href=""https://etherscan.io/address/0xef1335914a41f20805bf3b74c7b597afc4dafbee"" target=""_blank"" >0xef1335914a41f20805bf3b74c7b597afc4dafbee</a>",26843,5,6000000
54,0xd0c5a91800f504e5517dcd1173f271635d2e8000,"<a href=""https://etherscan.io/address/0xd0c5a91800f504e5517dcd1173f271635d2e8000"" target=""_blank"" >0xd0c5a91800f504e5517dcd1173f271635d2e8000</a>",26356,5,6000000
55,0x80077cb3b35a6c30dc354469f63e0743eeff32d4,"<a href=""https://etherscan.io/address/0x80077cb3b35a6c30dc354469f63e0743eeff32d4"" target=""_blank"" >0x80077cb3b35a6c30dc354469f63e0743eeff32d4</a>",26030,5,6000000
56,0xd6ff57479699e3f93ffd68295f3257f7c07e983e,"<a href=""https://etherscan.io/address/0xd6ff57479699e3f93ffd68295f3257f7c07e983e"" target=""_blank"" >0xd6ff57479699e3f93ffd68295f3257f7c07e983e</a>",25327,5,6000000
57,0xc1d1f253e40d2796fb652f9494f2cee8255a0a4f,"<a href=""https://etherscan.io/address/0xc1d1f253e40d2796fb652f9494f2cee8255a0a4f"" target=""_blank"" >0xc1d1f253e40d2796fb652f9494f2cee8255a0a4f</a>",25000,5,6000000
57,0x1c0f042ae8dffbac8113e3036d770339ab491a85,"<a href=""https://etherscan.io/address/0x1c0f042ae8dffbac8113e3036d770339ab491a85"" target=""_blank"" >0x1c0f042ae8dffbac8113e3036d770339ab491a85</a>",25000,5,6000000
57,0x80b9aa22ccda52f40be998eeb19db4d08fafec3e,"<a href=""https://etherscan.io/address/0x80b9aa22ccda52f40be998eeb19db4d08fafec3e"" target=""_blank"" >0x80b9aa22ccda52f40be998eeb19db4d08fafec3e</a>",25000,5,6000000
57,0xb04fa1fb54a7317efe85a0962f57bd143867730e,"<a href=""https://etherscan.io/address/0xb04fa1fb54a7317efe85a0962f57bd143867730e"" target=""_blank"" >0xb04fa1fb54a7317efe85a0962f57bd143867730e</a>",25000,5,6000000
61,0x3750c00525b6d1aeee4575a4450e87e2795ee4c9,"<a href=""https://etherscan.io/address/0x3750c00525b6d1aeee4575a4450e87e2795ee4c9"" target=""_blank"" >0x3750c00525b6d1aeee4575a4450e87e2795ee4c9</a>",23892,5,6000000
62,0x3af2098d4e068e5aa19d2102ef263d75867549ef,"<a href=""https://etherscan.io/address/0x3af2098d4e068e5aa19d2102ef263d75867549ef"" target=""_blank"" >0x3af2098d4e068e5aa19d2102ef263d75867549ef</a>",22866,5,6000000
63,0x9ada95ce2a188c51824ef76dd49850330af7545f,"<a href=""https://etherscan.io/address/0x9ada95ce2a188c51824ef76dd49850330af7545f"" target=""_blank"" >0x9ada95ce2a188c51824ef76dd49850330af7545f</a>",22547,5,6000000
64,0x027be82bf7895db5fc1fea5696117e875bbcc0de,"<a href=""https://etherscan.io/address/0x027be82bf7895db5fc1fea5696117e875bbcc0de"" target=""_blank"" >0x027be82bf7895db5fc1fea5696117e875bbcc0de</a>",20250,5,6000000
65,0x3b70dae598e7aba567d2513a7c7676f7536cadcb,"<a href=""https://etherscan.io/address/0x3b70dae598e7aba567d2513a7c7676f7536cadcb"" target=""_blank"" >0x3b70dae598e7aba567d2513a7c7676f7536cadcb</a>",20059,5,6000000
66,0xc7c1b169a8d3c5f2d6b25642c4d10da94ffcd3c9,"<a href=""https://etherscan.io/address/0xc7c1b169a8d3c5f2d6b25642c4d10da94ffcd3c9"" target=""_blank"" >0xc7c1b169a8d3c5f2d6b25642c4d10da94ffcd3c9</a>",20013,5,6000000
67,0x6a6d11ce4ccf2d43e61b7db1918768c5fdc14559,"<a href=""https://etherscan.io/address/0x6a6d11ce4ccf2d43e61b7db1918768c5fdc14559"" target=""_blank"" >0x6a6d11ce4ccf2d43e61b7db1918768c5fdc14559</a>",20000,5,6000000
67,0xd0988045f54baf8466a2ea9f097b22eeca8f7a00,"<a href=""https://etherscan.io/address/0xd0988045f54baf8466a2ea9f097b22eeca8f7a00"" target=""_blank"" >0xd0988045f54baf8466a2ea9f097b22eeca8f7a00</a>",20000,5,6000000
67,0x5d48f06ede8715e7bd69414b97f97ff0706d6c71,"<a href=""https://etherscan.io/address/0x5d48f06ede8715e7bd69414b97f97ff0706d6c71"" target=""_blank"" >0x5d48f06ede8715e7bd69414b97f97ff0706d6c71</a>",20000,5,6000000
70,0x877bdc0e7aaa8775c1dbf7025cf309fe30c3f3fa,"<a href=""https://etherscan.io/address/0x877bdc0e7aaa8775c1dbf7025cf309fe30c3f3fa"" target=""_blank"" >0x877bdc0e7aaa8775c1dbf7025cf309fe30c3f3fa</a>",19732,5,6000000
71,0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",19691,5,6000000
72,0xc89a6f24b352d35e783ae7c330462a3f44242e89,"<a href=""https://etherscan.io/address/0xc89a6f24b352d35e783ae7c330462a3f44242e89"" target=""_blank"" >0xc89a6f24b352d35e783ae7c330462a3f44242e89</a>",19458,5,6000000
73,0x820a2943762236e27a3a2c6ea1024117518895a5,"<a href=""https://etherscan.io/address/0x820a2943762236e27a3a2c6ea1024117518895a5"" target=""_blank"" >0x820a2943762236e27a3a2c6ea1024117518895a5</a>",18334,5,6000000
74,0x4c180462a051ab67d8237ede2c987590df2fbbe6,"<a href=""https://etherscan.io/address/0x4c180462a051ab67d8237ede2c987590df2fbbe6"" target=""_blank"" >0x4c180462a051ab67d8237ede2c987590df2fbbe6</a>",18000,5,6000000
75,0x89979246e8764d8dcb794fc45f826437fdec23b2,"<a href=""https://etherscan.io/address/0x89979246e8764d8dcb794fc45f826437fdec23b2"" target=""_blank"" >0x89979246e8764d8dcb794fc45f826437fdec23b2</a>",17593,5,6000000
76,0x43a9da9bade357843fbe7e5ee3eedd910f9fac1e,"<a href=""https://etherscan.io/address/0x43a9da9bade357843fbe7e5ee3eedd910f9fac1e"" target=""_blank"" >0x43a9da9bade357843fbe7e5ee3eedd910f9fac1e</a>",17500,5,6000000
77,0x0933f554312c7bcb86df896c46a44ac2381383d1,"<a href=""https://etherscan.io/address/0x0933f554312c7bcb86df896c46a44ac2381383d1"" target=""_blank"" >0x0933f554312c7bcb86df896c46a44ac2381383d1</a>",16842,5,6000000
78,0x20798fd64a342d1ee640348e42c14181fdc842d8,"<a href=""https://etherscan.io/address/0x20798fd64a342d1ee640348e42c14181fdc842d8"" target=""_blank"" >0x20798fd64a342d1ee640348e42c14181fdc842d8</a>",16667,5,6000000
79,0xddfe74f671f6546f49a6d20909999cfe5f09ad78,"<a href=""https://etherscan.io/address/0xddfe74f671f6546f49a6d20909999cfe5f09ad78"" target=""_blank"" >0xddfe74f671f6546f49a6d20909999cfe5f09ad78</a>",16666,5,6000000
79,0xb84e1e86eb2420887b10301cdcdfb729c4b9038b,"<a href=""https://etherscan.io/address/0xb84e1e86eb2420887b10301cdcdfb729c4b9038b"" target=""_blank"" >0xb84e1e86eb2420887b10301cdcdfb729c4b9038b</a>",16666,5,6000000
81,0xe2bdae527f99a68724b9d5c271438437fc2a4695,"<a href=""https://etherscan.io/address/0xe2bdae527f99a68724b9d5c271438437fc2a4695"" target=""_blank"" >0xe2bdae527f99a68724b9d5c271438437fc2a4695</a>",16312,5,6000000
82,0x9a00beffa3fc064104b71f6b7ea93babdc44d9da,"<a href=""https://etherscan.io/address/0x9a00beffa3fc064104b71f6b7ea93babdc44d9da"" target=""_blank"" >0x9a00beffa3fc064104b71f6b7ea93babdc44d9da</a>",15336,5,6000000
83,0xc725c98a214a3b79c0454ef2151c73b248ce329c,"<a href=""https://etherscan.io/address/0xc725c98a214a3b79c0454ef2151c73b248ce329c"" target=""_blank"" >0xc725c98a214a3b79c0454ef2151c73b248ce329c</a>",15090,5,6000000
84,0x7c27a1f60b5229340bc57449cfb91ca496c3c1c1,"<a href=""https://etherscan.io/address/0x7c27a1f60b5229340bc57449cfb91ca496c3c1c1"" target=""_blank"" >0x7c27a1f60b5229340bc57449cfb91ca496c3c1c1</a>",15048,5,6000000
85,0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,"<a href=""https://etherscan.io/address/0xce66c6a88bd7bec215aa04fda4cf7c81055521d0"" target=""_blank"" >0xce66c6a88bd7bec215aa04fda4cf7c81055521d0</a>",15002,5,6000000
86,0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282,"<a href=""https://etherscan.io/address/0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282"" target=""_blank"" >0x9fbb12ea7dc6de6503b35da4389db3aecf8e4282</a>",15000,5,6000000
86,0xdeb5b508847c9ab1295e83806855abc3c9859b38,"<a href=""https://etherscan.io/address/0xdeb5b508847c9ab1295e83806855abc3c9859b38"" target=""_blank"" >0xdeb5b508847c9ab1295e83806855abc3c9859b38</a>",15000,5,6000000
88,0xc1f80163cc753f460a190643d8fcbb7755a48409,"<a href=""https://etherscan.io/address/0xc1f80163cc753f460a190643d8fcbb7755a48409"" target=""_blank"" >0xc1f80163cc753f460a190643d8fcbb7755a48409</a>",14783,5,6000000
89,0x3c43674dfa916d791614827a50353fe65227b7f3,"<a href=""https://etherscan.io/address/0x3c43674dfa916d791614827a50353fe65227b7f3"" target=""_blank"" >0x3c43674dfa916d791614827a50353fe65227b7f3</a>",14760,5,6000000
90,0x1477bbce213f0b37b05e3ba0238f45d658d9f8b1,"<a href=""https://etherscan.io/address/0x1477bbce213f0b37b05e3ba0238f45d658d9f8b1"" target=""_blank"" >0x1477bbce213f0b37b05e3ba0238f45d658d9f8b1</a>",14380,5,6000000
91,0x66f6ac1e4c4c8ae7d84231451126f613bfe61d98,"<a href=""https://etherscan.io/address/0x66f6ac1e4c4c8ae7d84231451126f613bfe61d98"" target=""_blank"" >0x66f6ac1e4c4c8ae7d84231451126f613bfe61d98</a>",14135,5,6000000
92,0xd441c97ef1458d847271f91714799007081494ef,"<a href=""https://etherscan.io/address/0xd441c97ef1458d847271f91714799007081494ef"" target=""_blank"" >0xd441c97ef1458d847271f91714799007081494ef</a>",13635,5,6000000
93,0xb81d739df194fa589e244c7ff5a15e5c04978d0d,"<a href=""https://etherscan.io/address/0xb81d739df194fa589e244c7ff5a15e5c04978d0d"" target=""_blank"" >0xb81d739df194fa589e244c7ff5a15e5c04978d0d</a>",13437,5,6000000
94,0x424687a2bb8b34f93c3dcb5e3cdd2ad6a21163bf,"<a href=""https://etherscan.io/address/0x424687a2bb8b34f93c3dcb5e3cdd2ad6a21163bf"" target=""_blank"" >0x424687a2bb8b34f93c3dcb5e3cdd2ad6a21163bf</a>",13245,5,6000000
95,0x404a75f728d7e89197c61c284d782ec246425aa6,"<a href=""https://etherscan.io/address/0x404a75f728d7e89197c61c284d782ec246425aa6"" target=""_blank"" >0x404a75f728d7e89197c61c284d782ec246425aa6</a>",12784,5,6000000
96,0xde08f4eb43a835e7b1fe782dd502d77274c8135e,"<a href=""https://etherscan.io/address/0xde08f4eb43a835e7b1fe782dd502d77274c8135e"" target=""_blank"" >0xde08f4eb43a835e7b1fe782dd502d77274c8135e</a>",12544,5,6000000
97,0x6ac3bdbb58d671f81563998dd9ca561d527e5f43,"<a href=""https://etherscan.io/address/0x6ac3bdbb58d671f81563998dd9ca561d527e5f43"" target=""_blank"" >0x6ac3bdbb58d671f81563998dd9ca561d527e5f43</a>",12184,5,6000000
98,0xff961ed9c48fbebdef48542432d21efa546ddb89,"<a href=""https://etherscan.io/address/0xff961ed9c48fbebdef48542432d21efa546ddb89"" target=""_blank"" >0xff961ed9c48fbebdef48542432d21efa546ddb89</a>",12145,5,6000000
99,0x4bd60086997f3896332b612ec36d30a6ad57928e,"<a href=""https://etherscan.io/address/0x4bd60086997f3896332b612ec36d30a6ad57928e"" target=""_blank"" >0x4bd60086997f3896332b612ec36d30a6ad57928e</a>",12000,5,6000000
100,0x37a6156e4a6e8b60b2415af040546cf5e91699bd,"<a href=""https://etherscan.io/address/0x37a6156e4a6e8b60b2415af040546cf5e91699bd"" target=""_blank"" >0x37a6156e4a6e8b60b2415af040546cf5e91699bd</a>",11570,5,6000000
101,0x12ed7c9007cf0cb79b37e33d0244ad90c2a65c0b,"<a href=""https://etherscan.io/address/0x12ed7c9007cf0cb79b37e33d0244ad90c2a65c0b"" target=""_blank"" >0x12ed7c9007cf0cb79b37e33d0244ad90c2a65c0b</a>",11257,5,6000000
102,0xaab247f5b39012081a487470affb4288e8445418,"<a href=""https://etherscan.io/address/0xaab247f5b39012081a487470affb4288e8445418"" target=""_blank"" >0xaab247f5b39012081a487470affb4288e8445418</a>",10753,5,6000000
103,0x2908a0379cbafe2e8e523f735717447579fc3c37,"<a href=""https://etherscan.io/address/0x2908a0379cbafe2e8e523f735717447579fc3c37"" target=""_blank"" >0x2908a0379cbafe2e8e523f735717447579fc3c37</a>",10463,5,6000000
104,0x66801cc7ab6791afb179cc94cbbd268cfbfcbc7b,"<a href=""https://etherscan.io/address/0x66801cc7ab6791afb179cc94cbbd268cfbfcbc7b"" target=""_blank"" >0x66801cc7ab6791afb179cc94cbbd268cfbfcbc7b</a>",10239,5,6000000
105,0x122de1514670141d4c22e5675010b6d65386a9f6,"<a href=""https://etherscan.io/address/0x122de1514670141d4c22e5675010b6d65386a9f6"" target=""_blank"" >0x122de1514670141d4c22e5675010b6d65386a9f6</a>",10219,5,6000000
106,0x1dd6ac8e77d4c4a959bed5d2ae624d274c46e8bd,"<a href=""https://etherscan.io/address/0x1dd6ac8e77d4c4a959bed5d2ae624d274c46e8bd"" target=""_blank"" >0x1dd6ac8e77d4c4a959bed5d2ae624d274c46e8bd</a>",10053,5,6000000
107,0xf6f6d531ed0f7fa18cae2c73b21aa853c765c4d8,"<a href=""https://etherscan.io/address/0xf6f6d531ed0f7fa18cae2c73b21aa853c765c4d8"" target=""_blank"" >0xf6f6d531ed0f7fa18cae2c73b21aa853c765c4d8</a>",10037,5,6000000
108,0x1d264de8264a506ed0e88e5e092131915913ed17,"<a href=""https://etherscan.io/address/0x1d264de8264a506ed0e88e5e092131915913ed17"" target=""_blank"" >0x1d264de8264a506ed0e88e5e092131915913ed17</a>",10015,5,6000000
109,0x14f78bdcccd12c4f963bd0457212b3517f974b2b,"<a href=""https://etherscan.io/address/0x14f78bdcccd12c4f963bd0457212b3517f974b2b"" target=""_blank"" >0x14f78bdcccd12c4f963bd0457212b3517f974b2b</a>",10003,5,6000000
